Grip_cm,Takeoff_cm,Mid_mark_m,Stride_cm,Bar_height,Hand_grip_ft_in,Takeoff_mark_ft_in,Six_stride_mark_ft_in,Stride_length_ft_in
300,203,10.05,135,8-0,9-10,6-8,33-0,2025/4/5
310,213,10.36,137,8-6,10-2,7-0,34-0,2025/4/6
320,224,10.67,140,9-0 / 2m75,10-6,7-4,35-0,2025/4/7
330,234,10.97,145,9-6,10-10,7-8,36-0,2025/4/9
338,244,11.28,147,10-0,11-1,8-0,37-0,2025/4/10
350,254,11.58,150,10-6 / 3m20,11-5,8-4,38-0,2025/4/11
355,264,11.89,155,11-0,11-8,8-8,39-0,2025/5/1
366,274,12.2,157,11-6,12-0,9-0,40-0,2025/5/2
374,284,12.5,160,12-0 / 3m65,12-3,9-4,41-0,2025/5/3
384,295,12.8,163,12-6,12-7,9-8,42-0,2025/5/4
391,305,13.22,168,13-0,12-10,10-0,43-0,2025/5/6
401,315,13.41,170,13-6 / 4m10,13-2,10-4,44-0,2025/5/7
409,325,13.72,175,14-0,13-5,10-8,45-0,2025/5/9
419,335,14.02,178,14-6,13-9,11-0,46-0,2025/5/10
427,345,14.33,180,15-0 / 4m60,14-0,11-4,47-0,2025/5/11
434,356,14.63,185,15-6,14-4,11-8,48-0,2025/6/1
445,366,14.94,188,16-0,14-7,12-0,49-0,2025/6/2
455,376,15.24,191,16-6 / 5m00,14-11,12-4,50-0,2025/6/3
462,386,15.55,196,17-0,15-2,12-8,51-0,2025/6/5
472,396,15.85,198,17-6,15-6,13-0,52-0,2025/6/6
480,406,16.15,201,18-0 / 5m50,15-9,13-4,53-0,2025/6/7
490,417,16.46,206,18-6,16-1,13-8,54-0,2025/6/9
498,427,16.76,208,19-0,16-4,14-0,55-0,2025/6/10
508,437,17.07,211,19-6 / 6m00,16-8,14-4,56-0,2025/6/11
516,447,17.37,216,20-0,16-11,14-8,57-0,2025/7/1
521,457,17.68,221,20-6,17-1,15-0,58-0,2025/7/3
528,467,17.98,224,21-0,17-4,15-4,59-0,2025/7/4
